Hidden Layers,Activation Function,Learning Rate,Batch Size,MSE Loss,RMSE,R-Squared
[16],ReLU,0.01,16,0.40514397621154785,0.63650924,0.3800453832877523
[16],ReLU,0.01,32,0.4084147930145264,0.6390734,0.375040348631843
[16],ReLU,0.01,64,0.44756158590316775,0.66900045,0.3151376172943613
[16],ReLU,0.01,128,0.4242078363895416,0.66056436,0.33230092677162804
[16],ReLU,0.001,16,0.45166238993406294,0.6720583,0.3088625220197764
[16],ReLU,0.001,32,0.4670626848936081,0.6834198,0.2852968715419135
[16],ReLU,0.001,64,0.664850378036499,0.81538355,-0.0173594548028293
[16],ReLU,0.001,128,0.586712121963501,0.776674,0.07694414396719951
[16],ReLU,0.0001,16,0.7514888539910316,0.8668846,-0.14993441186663725
[16],ReLU,0.0001,32,2.0303776264190674,1.4249132,-2.1069004611652717
[16],ReLU,0.0001,64,3.0977316379547117,1.7600374,-3.7401742001788634
[16],ReLU,0.0001,128,7.588011105855306,2.7638035,-10.68866261085668
[16],Tanh,0.01,16,0.6928322851657868,0.83236545,-0.060177620115550834
[16],Tanh,0.01,32,0.6537929534912109,0.8085747,-0.00043930901380417886
[16],Tanh,0.01,64,0.4642207741737366,0.68133754,0.28964557514590694
[16],Tanh,0.01,128,0.6465788086255392,0.811366,-0.007358643725931646
[16],Tanh,0.001,16,0.5077050864696503,0.71253425,0.22310553223768737
[16],Tanh,0.001,32,0.6570428669452667,0.8105818,-0.005412353715068763
[16],Tanh,0.001,64,0.6706071496009827,0.8189061,-0.026168527277212084
[16],Tanh,0.001,128,0.8677692612012228,0.9350866,-0.337994164252442
[16],Tanh,0.0001,16,2.413023519515991,1.553391,-2.6924282339293897
[16],Tanh,0.0001,32,6.292678737640381,2.5085213,-8.629108455372046
[16],Tanh,0.0001,64,11.25889186859131,3.355427,-16.22844850286965
[16],Tanh,0.0001,128,26.753119150797527,5.1641965,-39.809005705013
[16],Sigmoid,0.01,16,0.43639362081885336,0.66060096,0.33222691929317094
[16],Sigmoid,0.01,32,0.5556932210922241,0.74544835,0.14967368734011333
[16],Sigmoid,0.01,64,0.6549848794937134,0.80931133,-0.0022632185705411256
[16],Sigmoid,0.01,128,0.6443241238594055,0.81008244,-0.004173944822665643
[16],Sigmoid,0.001,16,0.5602167561650276,0.7484763,0.14275174159083837
[16],Sigmoid,0.001,32,0.6576747417449951,0.8109715,-0.006379234465718087
[16],Sigmoid,0.001,64,0.7165844082832337,0.8465131,-0.0965233313887568
[16],Sigmoid,0.001,128,1.9502089420954387,1.396546,-1.9844275447950652
[16],Sigmoid,0.0001,16,4.434500658512116,2.1058254,-5.785709173089285
[16],Sigmoid,0.0001,32,11.311066913604737,3.363193,-16.308286653530686
[16],Sigmoid,0.0001,64,18.875316619873047,4.344573,-27.88316385133496
[16],Sigmoid,0.0001,128,30.63286844889323,5.5292826,-45.783001809998396
[32],ReLU,0.01,16,0.572374376654625,0.7565543,0.12414806309318838
[32],ReLU,0.01,32,0.47720124423503874,0.69079757,0.26978276614000773
[32],ReLU,0.01,64,0.42880111932754517,0.6548291,0.34384500482014957
[32],ReLU,0.01,128,0.41896958152453107,0.65459245,0.3443191194029025
[32],ReLU,0.001,16,0.42732534259557725,0.65370125,0.34610326115900103
[32],ReLU,0.001,32,0.442471444606781,0.6651853,0.3229265869123502
[32],ReLU,0.001,64,0.5555116653442382,0.7453265,0.1499514968914335
[32],ReLU,0.001,128,0.5150114297866821,0.7246547,0.19645023186355082
[32],ReLU,0.0001,16,0.5555105045437813,0.7453258,0.149953296914909
[32],ReLU,0.0001,32,0.679056704044342,0.824049,-0.039098132721584467
[32],ReLU,0.0001,64,3.8179803848266602,1.9539653,-4.842304908725992
[32],ReLU,0.0001,128,1.2226303815841675,1.1239585,-0.933085177655586
[32],Tanh,0.01,16,0.408486320823431,0.6391294,0.37493090501776793
[32],Tanh,0.01,32,0.4400294989347458,0.66334724,0.3266632747135413
[32],Tanh,0.01,64,0.43142557740211485,0.65682995,0.3398290474124446
[32],Tanh,0.01,128,0.6436248421669006,0.8093607,-0.0023854083102266
[32],Tanh,0.001,16,0.4815032944083214,0.6939044,0.263199729205965
[32],Tanh,0.001,32,0.5811813175678253,0.7623525,0.11067161684950033
[32],Tanh,0.001,64,0.6460322380065918,0.8037613,0.011436169449389189
[32],Tanh,0.001,128,0.6810731490453085,0.833085,-0.062011284197898586
[32],Tanh,0.0001,16,0.697195902466774,0.8349826,-0.0668548558896318
[32],Tanh,0.0001,32,3.436136245727539,1.8536818,-4.258003757474356
[32],Tanh,0.0001,64,5.75162296295166,2.3982542,-7.801180645800006
[32],Tanh,0.0001,128,8.518579800923666,2.921117,-12.057151733911295
[32],Sigmoid,0.01,16,0.5146296784281731,0.71737695,0.21250945873596594
[32],Sigmoid,0.01,32,0.5222628623247146,0.7226776,0.20082910695264278
[32],Sigmoid,0.01,64,0.4409968316555023,0.6640759,0.32518305231912004
[32],Sigmoid,0.01,128,0.5700844327608744,0.76482683,0.1048892515730021
